ORDEM;LOTE;PRODUTO;SITUACAO;COR;DESENHO;VARIANTE;CATEGORIA;NRO_ROLO;METROS;PESO_BRUTO;PESO_LIQUIDO;LARGURA;NRO;ROLO_PL;NRO_PECA;AVISO;FORNECEDOR;TEAR;Num_Etq_Aux
000014;T237L1;000014;001;00005;00000;00000;01;0000266263;100,7;30,9;30,5;1,40;1;1;001;000249;W;000001;W000001266263001
000014;T237L1;000014;001;00005;00000;00000;01;0000266264;95,3;29,3;28,9;1,40;2;2;001;000249;W;000002;W000002266264001
000014;T237L1;000014;001;00005;00000;00000;01;0000266265;101,8;31,2;30,8;1,40;3;3;001;000249;W;000003;W000003266265001
000014;T237L1;000014;001;00005;00000;00000;01;0000266266;92;28,3;27,9;1,40;4;4;001;000249;W;000004;W000004266266001
000014;T237L1;000014;001;00005;00000;00000;01;0000266267;101,5;31,2;30,8;1,40;5;5;001;000249;W;000005;W000005266267001
000014;T237L1;000014;001;00005;00000;00000;01;0000266268;99,1;30,4;30,0;1,40;6;6;001;000249;W;000006;W000006266268001
000014;T237L1;000014;001;00005;00000;00000;01;0000266269;101,3;31,1;30,7;1,40;7;7;001;000249;W;000007;W000007266269001
000014;T237L1;000014;001;00005;00000;00000;01;0000266270;89,4;27,5;27,1;1,40;8;8;001;000249;W;000008;W000008266270001
000014;T237L1;000014;001;00005;00000;00000;01;0000266271;100,9;31,0;30,6;1,40;9;9;001;000249;W;000009;W000009266271001
000014;T237L1;000014;001;00005;00000;00000;01;0000266272;97,8;30,0;29,6;1,40;10;10;001;000249;W;000010;W000010266272001
000014;T237L1;000014;001;00005;00000;00000;01;0000266273;101,1;31,0;30,6;1,40;11;11;001;000249;W;000011;W000011266273001
000014;T237L1;000014;001;00005;00000;00000;01;0000266274;97,2;29,9;29,5;1,40;12;12;001;000249;W;000012;W000012266274001
000014;T237L1;000014;001;00005;00000;00000;01;0000266275;59,3;18,4;18,0;1,40;13;13;001;000249;W;000013;W000013266275001
000014;T237L1;000014;001;00005;00000;00000;01;0000266276;101,1;31,0;30,6;1,40;14;14;001;000249;W;000014;W000014266276001
000014;T237L1;000014;001;00005;00000;00000;01;0000266277;99,9;30,7;30,3;1,40;15;15;001;000249;W;000015;W000015266277001
000014;T237L1;000014;001;00005;00000;00000;01;0000266278;100,3;30,8;30,4;1,40;16;16;001;000249;W;000016;W000016266278001
000014;T237L1;000014;001;00005;00000;00000;01;0000266279;99,2;30,5;30,1;1,40;17;17;001;000249;W;000017;W000017266279001
000014;T237L1;000014;001;00005;00000;00000;01;0000266280;100,9;31,0;30,6;1,40;18;18;001;000249;W;000018;W000018266280001
000014;T237L1;000014;001;00005;00000;00000;01;0000266281;100,6;30,9;30,5;1,40;19;19;001;000249;W;000019;W000019266281001
000014;T237L1;000014;001;00005;00000;00000;01;0000266282;100,8;30,9;30,5;1,40;20;20;001;000249;W;000020;W000020266282001
000014;T237L2;000014;001;00005;00000;00000;01;0000266283;108,8;33,4;33,0;1,40;21;21;001;000249;W;000021;W000021266283001
000014;T237L2;000014;001;00005;00000;00000;01;0000266284;104,7;32,1;31,7;1,40;22;22;001;000249;W;000022;W000022266284001
000014;T237L2;000014;001;00005;00000;00000;01;0000266285;98,7;30,3;29,9;1,40;23;23;001;000249;W;000023;W000023266285001
000014;T237L2;000014;001;00005;00000;00000;01;0000266286;101,2;31,1;30,7;1,40;24;24;001;000249;W;000024;W000024266286001
000014;T237L2;000014;001;00005;00000;00000;01;0000266287;108,5;33,3;32,9;1,40;25;25;001;000249;W;000025;W000025266287001
000014;T237L2;000014;001;00005;00000;00000;01;0000266288;107,2;32,9;32,5;1,40;26;26;001;000249;W;000026;W000026266288001
000014;T237L2;000014;001;00005;00000;00000;01;0000266289;100,8;30,9;30,5;1,40;27;27;001;000249;W;000027;W000027266289001
000014;T237L2;000014;001;00005;00000;00000;01;0000266290;98,3;30,2;29,8;1,40;28;28;001;000249;W;000028;W000028266290001
000014;T237L2;000014;001;00005;00000;00000;01;0000266291;109,5;33,6;33,2;1,40;29;29;001;000249;W;000029;W000029266291001
000014;T237L2;000014;001;00005;00000;00000;01;0000266292;102,7;31,5;31,1;1,40;30;30;001;000249;W;000030;W000030266292001
000014;T237L2;000014;001;00005;00000;00000;01;0000266293;101,5;31,2;30,8;1,40;31;31;001;000249;W;000031;W000031266293001
000014;T237L2;000014;001;00005;00000;00000;01;0000266294;99,3;30,5;30,1;1,40;32;32;001;000249;W;000032;W000032266294001
000014;T237L2;000014;001;00005;00000;00000;01;0000266295;101,7;31,2;30,8;1,40;33;33;001;000249;W;000033;W000033266295001
000014;T237L2;000014;001;00005;00000;00000;01;0000266296;95,8;29,4;29,0;1,40;34;34;001;000249;W;000034;W000034266296001
000014;T237L2;000014;001;00005;00000;00000;01;0000266297;100,5;30,9;30,5;1,40;35;35;001;000249;W;000035;W000035266297001
000014;T237L2;000014;001;00005;00000;00000;01;0000266298;95,6;29,4;29,0;1,40;36;36;001;000249;W;000036;W000036266298001
000014;T237L2;000014;001;00005;00000;00000;01;0000266299;105,9;32,5;32,1;1,40;37;37;001;000249;W;000037;W000037266299001
000014;T237L2;000014;001;00005;00000;00000;01;0000266300;93,4;28,7;28,3;1,40;38;38;001;000249;W;000038;W000038266300001
000014;T237L2;000014;001;00005;00000;00000;01;0000266301;101,5;31,2;30,8;1,40;39;39;001;000249;W;000039;W000039266301001
000014;T237L2;000014;001;00005;00000;00000;01;0000266302;74,7;23,0;22,6;1,40;40;40;001;000249;W;000040;W000040266302001
